590100000002_Layout,590100000002_Layout,Survey Name,Questionnaire on mobile applications for health.,ID,5901000002,Survey,Internet Research,Class
,,,,,,,,
Question Number,Question Type,Item Name,Label,Type,Category numbers,Columns,Options,Option labels
,,,,,,,,
,,MID,MID,MID,,1,,ID
,,,,,,,,
,,DAY,DAY,D,,2,,Date
,,,,,,,,
SEX,S,SEX,SEX,SA,2,3,,Gender
,,,,,,,,
,,,,,,,1,Male
,,,,,,,,
,,,,,,,2,Female
,,,,,,,,
AGE,NUM,AGE,AGE,NUM,,4,,Age
,,,,,,,,
GEN,S,GEN,GEN,SA,7,5,,Age band
,,,,,,,,
,,,,,,,1,15 <
,,,,,,,,
,,,,,,,2,15-19
,,,,,,,,
,,,,,,,3,20-29
,,,,,,,,
,,,,,,,4,30-39
,,,,,,,,
,,,,,,,5,40-49
,,,,,,,,
,,,,,,,6,50-59
,,,,,,,,
,,,,,,,7,60>=
,,,,,,,,
PRE,S,PRE,PRE,SA,47,6,,Prefecture
,,,,,,,,
,,,,,,,1,Hokkaido
,,,,,,,,
,,,,,,,2,Aomori
,,,,,,,,
,,,,,,,3,Iwate
,,,,,,,,
,,,,,,,4,Miyagi
,,,,,,,,
,,,,,,,5,Akita
,,,,,,,,
,,,,,,,6,Yamagata
,,,,,,,,
,,,,,,,7,Fukushima
,,,,,,,,
,,,,,,,8,Ibaragi
,,,,,,,,
,,,,,,,9,Tochigi
,,,,,,,,
,,,,,,,10,Gunma
,,,,,,,,
,,,,,,,11,Saitama
,,,,,,,,
,,,,,,,12,Chiba
,,,,,,,,
,,,,,,,13,Tokyo
,,,,,,,,
,,,,,,,14,Kanagawa
,,,,,,,,
,,,,,,,15,Niigata
,,,,,,,,
,,,,,,,16,Toyama
,,,,,,,,
,,,,,,,17,Ishikawa
,,,,,,,,
,,,,,,,18,Fukui
,,,,,,,,
,,,,,,,19,Yamanashi
,,,,,,,,
,,,,,,,20,Nagano
,,,,,,,,
,,,,,,,21,Gifu
,,,,,,,,
,,,,,,,22,Shizuoka
,,,,,,,,
,,,,,,,23,Aichi
,,,,,,,,
,,,,,,,24,Mie
,,,,,,,,
,,,,,,,25,Shiga
,,,,,,,,
,,,,,,,26,Kyoto
,,,,,,,,
,,,,,,,27,Osaka
,,,,,,,,
,,,,,,,28,Hyogo
,,,,,,,,
,,,,,,,29,Nara
,,,,,,,,
,,,,,,,30,Wakayama
,,,,,,,,
,,,,,,,31,Tottori
,,,,,,,,
,,,,,,,32,Shimane
,,,,,,,,
,,,,,,,33,Okayama
,,,,,,,,
,,,,,,,34,Hiroshima
,,,,,,,,
,,,,,,,35,Yamaguchi
,,,,,,,,
,,,,,,,36,Tokushima
,,,,,,,,
,,,,,,,37,Kagawa
,,,,,,,,
,,,,,,,38,Ehime
,,,,,,,,
,,,,,,,39,Kouchi
,,,,,,,,
,,,,,,,40,Fukuoka
,,,,,,,,
,,,,,,,41,Saga
,,,,,,,,
,,,,,,,42,Nagasaki
,,,,,,,,
,,,,,,,43,Kumamoto
,,,,,,,,
,,,,,,,44,Oita
,,,,,,,,
,,,,,,,45,Miyazaki
,,,,,,,,
,,,,,,,46,Kagoshima
,,,,,,,,
,,,,,,,47,Okinawa
,,,,,,,,
ARE,S,ARE,ARE,SA,8,7,,Region
,,,,,,,,
,,,,,,,1,Hokkaido
,,,,,,,,
,,,,,,,2,Tohoku
,,,,,,,,
,,,,,,,3,Kanto
,,,,,,,,
,,,,,,,4,Chubu
,,,,,,,,
,,,,,,,5,Kinki
,,,,,,,,
,,,,,,,6,Chugoku
,,,,,,,,
,,,,,,,7,Shikoku
,,,,,,,,
,,,,,,,8,Kyushu
,,,,,,,,
JOB,S,JOB,JOB,SA,11,8,,Occupation
,,,,,,,,
,,,,,,,1,Civil-Servant
,,,,,,,,
,,,,,,,2,Exective
,,,,,,,,
,,,,,,,3,Employee(Office based work)
,,,,,,,,
,,,,,,,4,Employee(Manual work)
,,,,,,,,
,,,,,,,5,Employee(Others)
,,,,,,,,
,,,,,,,6,Self-employed
,,,,,,,,
,,,,,,,7,Freelancer
