MID,DAY,SEX,AGE,GEN,PRE,ARE,JOB,MAR,CHI,q1t1,q2c1,q2c2,q2c3,q2c4,q3,q3t6,q4s1,q4s2,q4s3,q4s4,q4s5,q4s6,q4s7,q4s8,q4s9,q4s10,q4s11,q4s12,q4s13,q4s14,q4s15,q5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000002570,6/8/2022 20:58,2,56,6,14,3,8,2,1,H Band,0,1,0,0,4,/NA/,3,4,4,4,2,3,4,3,3,3,4,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000003695,6/8/2022 22:17,1,64,7,13,3,6,2,1,NA,0,0,1,0,4,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000003768,6/8/2022 21:29,2,52,6,11,3,11,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000004117,6/8/2022 19:30,2,54,6,13,3,9,2,1,Thealthcare,0,1,0,0,2,/NA/,4,2,3,2,2,2,2,2,2,2,2,3,3,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000006484,6/8/2022 19:54,1,81,7,13,3,4,2,2,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000006640,6/8/2022 21:24,1,40,5,13,3,9,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000006974,6/8/2022 19:57,2,59,6,45,8,8,2,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000008551,6/8/2022 20:08,2,60,7,27,5,4,1,2,Nike,1,0,0,0,2,/NA/,3,3,3,2,2,2,3,2,2,4,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000009247,6/8/2022 19:17,1,73,7,22,4,2,1,1,NA,1,0,0,0,6,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000009324,6/8/2022 19:15,2,60,7,23,4,6,2,1,Coke on,0,1,0,0,2,/NA/,3,1,3,2,2,2,3,2,3,3,3,3,3,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000011442,6/8/2022 19:14,1,49,5,11,3,5,1,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000013938,6/8/2022 19:06,1,68,7,22,4,11,2,1,NA,0,1,0,0,1,/NA/,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000014003,6/8/2022 19:53,2,65,7,14,3,8,2,1,line,0,1,0,0,1,/NA/,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000015748,6/8/2022 20:35,1,55,6,13,3,5,2,1,Unknown,0,1,0,0,3,/NA/,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000015956,6/8/2022 19:24,1,47,5,14,3,4,2,1,NA,0,1,0,0,2,/NA/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000017248,6/8/2022 21:52,2,75,7,12,3,8,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019442,6/8/2022 19:03,1,70,7,14,3,3,2,1,nai,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019481,6/8/2022 21:30,1,56,6,11,3,9,1,2,No use,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019672,6/8/2022 19:47,1,72,7,25,5,11,2,2,Ketsuatsu note,0,1,0,0,2,/NA/,4,4,4,2,2,2,2,3,2,2,2,2,4,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019919,6/8/2022 19:09,2,73,7,8,3,8,2,1,d healthcare,0,1,0,0,4,/NA/,4,4,3,2,2,3,4,4,3,3,3,2,3,3,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000021786,6/8/2022 19:07,1,57,6,34,6,9,1,2,No use,0,1,0,0,6,No use,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000024013,6/8/2022 20:12,2,65,7,6,2,9,2,1,d healthcare,1,0,0,0,6,/NA/,5,2,3,3,3,2,2,3,4,4,3,2,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000024164,6/8/2022 19:29,2,68,7,36,7,3,2,1,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000025057,6/8/2022 19:39,1,62,7,27,5,5,2,1,d healthcare,0,1,0,0,3,/NA/,5,5,3,2,2,2,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000025787,6/8/2022 20:30,1,54,6,28,5,6,2,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000026997,6/8/2022 19:32,1,55,6,14,3,6,2,2,NA,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000030660,6/8/2022 20:02,1,79,7,13,3,11,2,1,Unknown,1,0,0,0,1,/NA/,4,4,4,2,3,3,4,3,4,2,3,4,3,3,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000030705,6/8/2022 19:15,1,53,6,4,2,3,2,1,Garmin,0,1,0,0,3,/NA/,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000036392,6/8/2022 21:58,1,47,5,13,3,4,2,1,Hosukei,1,0,0,0,2,/NA/,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
